id	host	logname	time	method	url	bytes	useragent
ABC	dialup12.leuven.eunet.be	-	807257911	GET	/shuttle/technology/sts-newsref/sts_asm.html	71654	
ABC	pc-heh.icl.dk	-	807257911	GET	/shuttle/missions/sts-70/images/KSC-95EC-1015.gif	55442	
ABC	137.132.246.148	-	807257922	GET	/images/	17688	
ABC	dd08-050.compuserve.com	-	807257923	GET	/history/apollo/apollo-13/movies/apo13damage.mpg	297851	
ABC	193.84.66.147	-	807257927	GET	/elv/elvpage.htm	7775	
ABC	pc-heh.icl.dk	-	807257931	GET	/shuttle/missions/sts-70/images/KSC-95EC-1018.gif	28291	
ABC	193.84.66.147	-	807257943	GET	/images/launch.gif	49152	
ABC	violin-05.synapse.net	-	807257943	GET	/htbin/cdt_clock.pl	543	
ABC	pc-heh.icl.dk	-	807257944	GET	/shuttle/missions/sts-70/images/KSC-95EC-1056.gif	47925	
ABC	137.132.246.148	-	807257952	GET	/icons/menu.xbm	527	
ABC	violin-05.synapse.net	-	807257953	GET	/shuttle/countdown/countdown.html	4324	
ABC	violin-05.synapse.net	-	807257955	GET	/images/KSC-logosmall.gif	1204	
ABC	137.132.246.148	-	807257957	GET	/icons/blank.xbm	509	
ABC	pc-heh.icl.dk	-	807257957	GET	/shuttle/missions/sts-70/images/KSC-95EC-1057.gif	44125	
ABC	violin-05.synapse.net	-	807257959	GET	/shuttle/countdown/count70.gif	46573	
ABC	206.24.43.11	-	807257961	GET	/	7280	
ABC	beauty.noc.fujita-hu.ac.jp	-	807257961	GET	/shuttle/missions/sts-71/movies/crew-arrival-t38.mpg	90112	
ABC	193.84.66.147	-	807257962	GET	/elv/elvhead3.gif	9925	
ABC	206.24.43.11	-	807257963	GET	/images/ksclogo-medium.gif	5866	
